"Kod"	"Överordnad kod"	"Titel"	"Alternativ titel"	"Beskrivning"	"Innefattar"	"Utesluter"	"Anmärkning"	"Bedömningsfaktor"
"b6500"	"b650"	"Funktioner för regelbundenhet i menstruationscykeln"	"Regelbundenhet i menstruationscykeln"	"Funktioner involverade i menstruationscykelns regelbundenhet"	""	""	"funktionsnedsättningar vilka yttrar sig som alltför frekvent eller alltför sällan förekommande menstruation"	""
"b6501"	"b650"	"Funktioner för intervall mellan menstruationer"	"Intervall mellan menstruationer"	"Funktioner som hänger samman med tidslängden mellan två menstruationer"	""	""	""	""
"b6502"	"b650"	"Funktioner för grad av menstruell blödning"	"Grad av menstruell blödning"	"Funktioner involverade i kvantitet av menstruellt flöde"	""	""	"funktionsnedsättningar vilka yttrar sig som hypomenorré (alltför litet menstruellt flöde); menorragi, hypermenorré (alltför stort menstruellt flöde)"	""
"b6503"	"b650"	"Funktioner för menstruationsstart"	"Menstruationsstart"	"Funktioner relaterade till start av den första menstruationen (menarche)"	""	""	""	""
"b6504"	"b650"	"Funktioner för upphörande av menstruation"	"Upphörande av menstruation"	"Funktioner relaterade till tillfällig eller permanent upphörande av menstruation"	""	""	"funktionsnedsättningar vilka yttrar sig som primärt och sekundärt utebliven menstruation"	""
"b6508"	"b650"	"Andra specificerade menstruationsfunktioner"	""	""	""	""	""	""
"b6509"	"b650"	"Ospecificerade menstruationsfunktioner"	""	""	""	""	""	""
"b660"	"b640-b679"	"Fortplantningsfunktioner"	"Fortplantning"	"Funktioner i samband med fertilitet, havandeskap, barnafödsel och mjölkproduktion"	"funktioner för manlig och kvinnlig fertilitet, havandeskap och förlossning samt mjölkutsöndring"	"sexuella funktioner (b640); menstruationsfunktioner (b650)"	"funktionsnedsättningar vilka yttrar sig som avsaknad av sädesceller, minskad utsöndring av sädesceller, rinnande bröst, avsaknad eller upphörd mjölkutsöndring, nedsatt fertilitet, sterilitet, spontan abort, utomkvedshavandeskap, missfall, litet foster, hydramnios, förtidig förlossning, försenad förlossning"	""
"b6600"	"b660"	"Funktioner relaterade till fertilitet"	"Fertilitet"	"Funktioner som hänger samman med förmåga att producera sädesceller eller äggceller för fortplantning"	""	"sexuella funktioner (b640)"	"funktionsnedsättningar vilka yttrar sig som nedsatt fertilitet, sterilitet"	""
"b6601"	"b660"	"Funktioner som hänger samman med havandeskap"	"Graviditet"	"Funktioner som hänger samman med att bli gravid och att vara gravid"	""	""	""	""
"b6602"	"b660"	"Funktioner som hänger samman med förlossning"	"Förlossning"	"Funktioner som hänger samman med att föda barn"	""	""	""	""
"b6603"	"b660"	"Mjölkproduktion"	""	"Funktioner som hänger samman med produktion av mjölk och att göra mjölken tillgänglig för barnet"	""	"att amma spädbarn och barn (d6607)"	""	""
"b6608"	"b660"	"Andra specificerade fortplantningsfunktioner"	""	""	""	""	""	""
"b6609"	"b660"	"Ospecificerade fortplantningsfunktioner"	""	""	""	""	""	""
"b670"	"b640-b679"	"Förnimmelser i samband med genitala och reproduktiva funktioner"	"Förnimmelser avseende genitala och reproduktiva funktioner"	"Förnimmelser i samband med samlag, menstruation och relaterade genitala eller reproduktiva funktioner"	"förnimmelser av heta vallningar under menopaus, nattsvettningar under menopaus, förnimmelser förknippade med självstimulering av könsorgan"	"smärtförnimmelse (b280); förnimmelser i samband med urinfunktioner (b630); sexuella funktioner (b640); menstruationsfunktioner (b650); fortplantningsfunktioner (b660)"	"funktionsnedsättningar vilka yttrar sig som dyspareuni (smärta och obehag vid samlag), dysmenorré (smärtsamma menstruationer)"	""
"b6700"	"b670"	"Förnimmelser i samband med samlag"	"Förnimmelser vid samlag"	"Förnimmelser i samband med sexuell upphetsning, förberedelse, samlag, orgasm och post-coital avslappning (avslappning efter orgasm)"	""	""	""	""
"b6701"	"b670"	"Förnimmelser i samband med menstruationscykeln"	"Förnimmelser vid menstruationscykeln"	"Förnimmelser involverade vid menstruation, innefattande för- och eftermenstruella faser"	""	""	""	""
"b6702"	"b670"	"Förnimmelser i samband med menstruationscykelns upphörande"	"Förnimmelser vid menstruationscykelns upphörande"	"Förnimmelser i samband med menopaus"	"heta vallningar och nattsvettningar under menopaus"	""	""	""
"b6703"	"b670"	"Förnimmelser i samband med könsfunktioner"	""	"Förnimmelser i samband med upphetsning av könsorgan"	"förnimmelser i samband med självstimulering av könsorgan"	"sexuella funktioner (b640); fortplantnings-funktioner (b660)"	""	""
"b6708"	"b670"	"Andra specificerade förnimmelser i samband med genitala och reproduktiva funktioner"	""	""	""	""	""	""
"b6709"	"b670"	"Ospecificerade förnimmelser i samband med genitala och reproduktiva funktioner"	""	""	""	""	""	""
"b679"	"b640-b679"	"Andra specificerade och ospecificerade genitala och reproduktiva funktioner"	""	""	""	""	""	""
"b698"	"b6"	"Funktioner i köns- och urinorganen samt reproduktiva funktioner, andra specificerade"	""	""	""	""	""	""
"b699"	"b6"	"Ospecificerade funktioner i köns- och urinorganen samt ospecificerade reproduktiva funktioner"	""	""	""	""	""	""
"b7"	"b"	"Neuromuskuloskeletala och rörelserelaterade funktioner"	""	"Detta kapitel handlar om rörelsesystemets funktioner, inklusive funktioner i leder, skelett, reflexer och muskler"	""	""	""	""
"b710"	"b710-b729"	"Funktioner för rörlighet i leder"	"Ledrörlighet"	"Funktioner för rörelseomfång och smidighet vad avser rörelse i en led"	"funktioner att röra en enstaka eller flera leder, ryggrad, skuldra, armbåge, handled, höft, knä, fotled, småleder i hand och fot; allmän ledrörlighet"	"ledstabilitetsfunktioner (b715); funktioner för kontroll av viljemässiga rörelser (b760)"	"funktionsnedsättningar vilka yttrar sig som överrörlighet i leder, stela leder, frusen skuldra, artrit"	""
"b710-b729"	"b7"	"Funktioner i leder och skelett"	""	""	""	""	""	""
"b7100"	"b710"	"Funktioner för rörlighet i en enstaka led"	"Rörlighet i enstaka led"	"Funktioner för rörelseomfång och smidighet vad avser rörelse i en led"	""	""	""	""
"b7101"	"b710"	"Funktioner för rörlighet i flera leder"	"Rörlighet i flera leder"	"Funktioner för rörelseomfång och smidighet vad avser rörelse i mer än en led"	""	""	""	""
"b7102"	"b710"	"Funktioner för allmän rörlighet i leder"	"Allmän ledrörlighet"	"Funktioner för rörelseomfång och smidighet vad avser rörelse i leder i hela kroppen"	""	""	""	""
"b7108"	"b710"	"Andra specificerade funktioner för rörlighet i leder"	""	""	""	""	""	""
"b7109"	"b710"	"Ospecificerade funktioner för rörlighet i leder"	""	""	""	""	""	""
"b715"	"b710-b729"	"Ledstabilitetsfunktioner"	"Ledstabilitet"	"Funktioner för att upprätthålla stabilitet i leder"	"stabilitet i enstaka led, i flera leder och i leder i allmänhet"	"funktioner för rörlighet i leder (b710)"	"funktionsnedsättningar som vid instabil axelled, dislokation av en led, dislokation av axelled eller höftled"	""
"b7150"	"b715"	"Funktioner för stabilitet i en enstaka led"	"Stabilitet i enstaka led"	"Funktioner för att upprätthålla stabilitet i en led"	""	""	""	""
"b7151"	"b715"	"Funktioner för stabilitet i flera leder"	"Stabilitet i flera leder"	"Funktioner för att upprätthålla stabilitet i mer än en led"	""	""	""	""
"b7152"	"b715"	"Funktioner för stabilitet i leder i allmänhet"	"Allmän ledstabilitet"	"Funktioner för att upprätthålla stabilitet i leder i hela kroppen"	""	""	""	""
"b7158"	"b715"	"Andra specificerade ledstabilitetsfunktioner"	""	""	""	""	""	""
"b7159"	"b715"	"Ospecificerade ledstabilitetsfunktioner"	""	""	""	""	""	""
"b720"	"b710-b729"	"Funktioner för rörlighet mellan skelettdelar"	"Rörlighet mellan skelettdelar"	"Funktioner för graden och smidigheten i rörlighet mellan specifika ben, såsom skulderbladets rörelser, rörelsen mellan bäckenbenen samt mellan småbenen i hand och fot"	""	"funktioner för rörlighet i leder (b710)"	"funktionsnedsättningar som vid frusen skuldra och låsning av bäcken"	""
"b7200"	"b720"	"Funktioner för skulderbladets rörlighet"	"Skulderbladets rörlighet"	"Funktioner för rörlighet och smidighet vad avser skulderbladet"	""	""	"funktionsnedsättningar vilka yttrar sig vid protraktion och retraktion (framåt- och bakåtföring) samt lateral och medial rotation av skulderbladet"	""
"b7201"	"b720"	"Funktioner för bäckenets rörlighet"	"Bäckenets rörlighet"	"Funktioner för rörlighet och ledspel i bäckenet"	"rotation av bäckenet"	""	""	""
"b7202"	"b720"	"Funktioner för rörlighet mellan handlovsbenen"	"Rörlighet mellan handlovsbenen"	"Funktioner för rörlighet och ledspel mellan småben i handen"	""	""	""	""
"b7203"	"b720"	"Funktioner för rörlighet mellan fotledsbenen"	"Rörlighet mellan fotledsbenen"	"Funktioner för rörlighet och ledspel mellan småben i foten"	""	""	""	""
"b7208"	"b720"	"Andra specificerade funktioner för rörlighet mellan skelettdelar"	""	""	""	""	""	""
"b7209"	"b720"	"Ospecificerade funktioner för rörlighet mellan skelettdelar"	""	""	""	""	""	""
"b729"	"b710-b729"	"Andra specificerade och ospecificerade funktioner i leder och skelett"	""	""	""	""	""	""
"b730"	"b730-b749"	"Muskelkraftsfunktioner"	"Muskelkraft"	"Funktioner vad avser den styrka som genereras vid sammandragning av en muskel eller muskelgrupper"	"funktioner som rör styrka i specifika muskler och muskelgrupper, muskler i en extremitet, i ena sidan av kroppen, i nedre kroppshalvan, i alla extremiteter, i bålen och i kroppens alla muskler"	"funktioner hos strukturer intill ögat (b215); muskeltonusfunktioner (b735); muskeluthållighetsfunktioner (b740);"	"funktionsnedsättningar vilka yttrar sig som svaghet i små muskler i fötter och händer, pares, paralys, monopares och monoplegi, hemipares och hemiplegi, parapares och paraplegi, tetrapares och tetraplegi, akinetisk mutism (total stumhet och förlust av all viljemässig motorik)"	""
"b730-b749"	"b7"	"Muskelfunktioner"	""	""	""	""	""	""
"b7300"	"b730"	"Funktioner för kraft i enskilda muskler och muskelgrupper"	"Kraft i enskilda muskler och muskelgrupper"	"Funktioner vad avser den styrka som genereras genom sammandragning av specifika och enskilda muskler och muskelgrupper"	""	""	"funktionsnedsättningar vilka yttrar sig som svaghet i små muskler i fötter och händer"	""
"b7301"	"b730"	"Funktioner för kraft i musklerna i en extremitet"	"Kraft i en extremitet"	"Funktioner vad avser den styrka som genereras genom sammandragning av muskler och muskelgrupper i arm eller ben"	""	""	"funktionsnedsättningar vilka yttrar sig som monopares och monoplegi"	""
"b7302"	"b730"	"Funktioner för kraft i musklerna i en sida av kroppen"	"Kraft i en sida av kroppen"	"Funktioner vad avser den styrka som genereras genom sammandragning av muskler och muskelgrupper i vänster eller höger sida av kroppen"	""	""	"funktionsnedsättningar vilka yttrar sig som hemipares och hemiplegi"	""
"b7303"	"b730"	"Funktioner för kraft i musklerna i den nedre kroppshalvan"	"Kraft i nedre kroppshalvan"	"Funktioner vad avser den styrka som genereras genom sammandragning av muskler och muskelgrupper i den nedre kroppshalvan"	""	""	"funktionsnedsättningar vilka yttrar sig som parapares och paraplegi"	""
"b7304"	"b730"	"Funktioner för kraft i musklerna i samtliga extremiteter"	"Kraft i samtliga extremiteter"	"Funktioner vad avser den styrka som genereras genom sammandragning av muskler och muskelgrupper i alla fyra extremiteterna"	""	""	"funktionsnedsättningar vilka yttrar sig som tetrapares och tetraplegi"	""
"b7305"	"b730"	"Funktioner för kraft i bålmuskler"	"Kraft i bålmuskler"	"Funktioner vad avser den styrka som genereras genom sammandragning av muskler och muskelgrupper i bålen"	""	""	""	""
"b7306"	"b730"	"Funktioner för kraft i kroppens samtliga muskler"	"Kraft i samtliga muskler"	"Funktioner vad avser den styrka som genereras genom sammandragning av kroppens samtliga muskler och muskelgrupper"	""	""	"funktionsnedsättningar vilka yttrar sig som akinetisk mutism (total stumhet och förlust av all viljemässig motorik)"	""
"b7308"	"b730"	"Andra specificerade muskelkraftsfunktioner"	""	""	""	""	""	""
"b7309"	"b730"	"Ospecificerade muskelkraftsfunktioner"	""	""	""	""	""	""
"b735"	"b730-b749"	"Muskeltonusfunktioner"	"Muskeltonus"	"Funktioner vad avser den spänning som finns i muskler i vila och det motstånd muskler bjuder vid passiva rörelser"	"funktioner vad avser muskeltonus i enskilda muskler och muskelgrupper, muskler i en extremitet, i ena sidan av kroppen, i nedre kroppshalvan, i alla extremiteter, i bålen och i kroppens samtliga muskler"	"muskelkraftfunktioner (b730); muskeluthållighetsfunktioner (b740)"	"funktionsnedsättningar vilka yttrar sig som minskad muskeltonus, ökad muskeltonus, spasticitet, myotoni och paramyotoni, vid fokal dystoni (störning av muskelspänning) t.ex. torticollis (snedhet i nacken), monopares och monoplegi, hemipares och hemiplegi, parapares och paraplegi, tetrapares och tetraplegi, allmän störning av muskeltonus, Parkinsons sjukdom eller generell pares och paralys"	""
"b7350"	"b735"	"Funktioner för muskeltonus i enskilda muskler och muskelgrupper"	"Tonus i enskilda muskler och muskelgrupper"	"Funktioner vad avser den spänning som finns i enskilda muskler och muskelgrupper i vila och det motstånd musklerna bjuder vid passiva rörelser"	""	""	"funktionsnedsättningar vilka yttrar sig som fokal dystoni (störning av muskel-spänning), t.ex. torticollis (snedhet i nacken)"	""
"b7351"	"b735"	"Funktioner för muskeltonus i muskler i en extremitet"	"Muskeltonus i muskler i en extremitet"	"Funktioner vad avser den spänning som finns i vila i muskler och muskelgrupper i en arm eller ett ben och det motstånd musklerna bjuder vid passiva rörelser"	""	""	"funktionsnedsättningar vilka yttrar sig som monopares och monoplegi"	""
"b7352"	"b735"	"Funktioner för muskeltonus i ena sidan av kroppen"	"Muskeltonus i ena sidan av kroppen"	"Funktioner vad avser den spänning som finns i muskler och muskelgrupper i vila i höger eller vänster sida av kroppen och det motstånd musklerna bjuder vid passiva rörelser"	""	""	"funktionsnedsättningar vilka yttrar sig som hemipares och hemiplegi"	""
"b7353"	"b735"	"Funktioner för muskeltonus i muskler i nedre kroppshalvan"	"Tonus i nedre kroppshalvan"	"Funktioner vad avser den spänning som finns i muskler och muskelgrupper i vila i nedre kroppshalvan och det motstånd som musklerna bjuder vid passiva rörelser"	""	""	"funktionsnedsättningar vilka yttrar sig som parapares och paraplegi"	""
"b7354"	"b735"	"Funktioner för muskeltonus i samtliga extremiteter"	"Muskeltonus i samtliga extremiteter"	"Funktioner vad avser den spänning som finns i muskler och muskelgrupper i vila i alla fyra extremiteterna och det motstånd som musklerna bjuder vid passiva rörelser"	""	""	"funktionsnedsättningar vilka yttrar sig som tetrapares och tetraplegi"	""
"b7355"	"b735"	"Funktioner för muskeltonus i bålmusklerna"	"Tonus i bålen"	"Funktioner vad avser den spänning som finns i vila i muskler och muskelgrupper i bålen och det motstånd musklerna bjuder vid passiva rörelser"	""	""	""	""
"b7356"	"b735"	"Funktioner för muskeltonus i kroppens samtliga muskler"	"Tonus i samtliga muskler"	"Funktioner vad avser den spänning som finns i vila i muskler och muskelgrupper i hela kroppen och det motstånd musklerna bjuder vid passiva rörelser"	""	""	"funktionsnedsättningar vilka yttrar sig som allmän störning av muskeltonus, Parkinsons sjukdom eller generell pares och paralys"	""
"b7358"	"b735"	"Andra specificerade muskeltonusfunktioner"	""	""	""	""	""	""
"b7359"	"b735"	"Ospecificerade muskeltonusfunktioner"	""	""	""	""	""	""
"b740"	"b730-b749"	"Muskeluthållighetsfunktioner"	"Muskeluthållighet"	"Funktioner vad avser att upprätthålla muskelsammandragning under erforderlig tid"	"funktioner att upprätthålla muskelsammandragning i enskilda muskler och muskelgrupper och i kroppens alla muskler"	"funktioner relaterade till tolerans för fysiskt arbete (b455); muskelkraftsfunktioner (b730); muskeltonusfunktioner (b735)"	"funktionsnedsättningar vilka yttrar sig som myasthenia gravis, monopares, monoplegi, hemipares, hemiplegi, parapares, paraplegi, tetrapares, tetraplegi, generell pares och paralys"	""
"b7400"	"b740"	"Funktioner för uthållighet i enskilda muskler"	"Uthållighet i enskilda muskler"	"Funktioner vad avser att upprätthålla muskelsammandragning i enskilda muskler under erforderlig tid"	""	""	""	""
"b7401"	"b740"	"Funktioner för uthållighet i muskelgrupper"	"Uthållighet i muskelgrupper"	"Funktioner vad avser att upprätthålla muskelsammandragning i enskilda muskelgrupper under erforderlig tid"	""	""	"funktionsnedsättningar vilka yttrar sig som monopares, monoplegi, hemipares, hemiplegi, parapares och paraplegi"	""
"b7402"	"b740"	"Funktioner för uthållighet i kroppens samtliga muskler"	"Uthållighet i samtliga muskler"	"Funktioner vad avser att upprätthålla muskelsammandragning i kroppens samtliga muskler under erforderlig tid"	""	""	"funktionsnedsättningar vilka yttrar sig som tetrapares, tetraplegi, generell pares och paralys"	""
"b7408"	"b740"	"Andra specificerade muskeluthållighetsfunktioner"	""	""	""	""	""	""
"b7409"	"b740"	"Ospecificerade muskeluthållighetsfunktioner"	""	""	""	""	""	""
"b749"	"b730-b749"	"Andra specificerade och ospecificerade muskelfunktioner"	""	""	""	""	""	""
"b750"	"b750-b789"	"Motoriska reflexfunktioner"	"Motoriska reflexer"	"Funktioner för icke viljemässig sammandragning av muskler som utlöses automatiskt genom specifika stimuli"	"funktioner för sträckreflex, automatisk lokal ledreflex, reflexer som utlöses genom smärtande stimuli och andra utifrån kommande stimuli; withdrawal-reflex, bicepsreflex, brachioradialisreflex, quadricepsreflex, patellarreflex, akillesreflex, förekomst och kvarstående av reflexer"	""	""	""
"b750-b789"	"b7"	"Rörelsefunktioner"	""	""	""	""	""	""
"b7500"	"b750"	"Funktioner för sträckreflex"	"Sträckreflex"	"Funktioner för icke viljemässiga sammandragningar i muskler som utlöses automatiskt vid sträckning"	""	""	""	""
"b7501"	"b750"	"Funktioner för reflexer som genereras genom skadliga stimuli"	"Reflexer som genereras genom skadliga stimuli"	"Funktioner för icke viljemässiga sammandragningar av muskler, som utlöses automatiskt genom smärtande eller andra skadliga stimuli"	"withdrawal-reflex (undandragandereflex)"	""	""	""
"b7502"	"b750"	"Funktioner för reflexer som genereras genom andra utifrån kommande stimuli"	"Reflexer som genereras genom andra utifrån kommande stimuli"	"Funktioner för icke viljemässiga sammandragningar av muskler, som utlöses automatiskt genom yttre, icke skadliga, stimuli"	"sökreflex, gripreflex, sugreflex och andra primitiva reflexer"	""	""	""
"b7508"	"b750"	"Andra specificerade motoriska reflexfunktioner"	""	""	""	""	""	""
"b7509"	"b750"	"Ospecificerade motoriska reflexfunktioner"	""	""	""	""	""	""
"b755"	"b750-b789"	"Funktioner för icke viljemässiga rörelsereaktioner"	""	"Funktioner för icke viljemässiga sammandragningar i stora muskler eller hela kroppen framkallade av kroppsställning, balans och hotande stimuli"	"funktioner för posturala reaktioner, såsom upprätnings-, jämvikts-, balans- och skyddsreaktioner"	"motoriska reflexfunktioner (b750)"	""	""
"b760"	"b750-b789"	"Funktioner för kontroll av viljemässiga rörelser"	"Kontroll av viljemässiga rörelser"	"Funktioner som rör kontroll över och koordination av viljemässiga rörelser"	"funktioner för kontroll av viljemässiga isolerade eller sammansatta rörelser, koordination av viljemässiga rörelser, funktioner för belastning på armar eller ben, höger-vänster-koordination, öga-hand-koordination, öga-fot-koordination"	"muskelkraftfunktioner (b730); funktioner för icke viljemässiga rörelser (b765); gångfunktioner (b770)"	"funktionsnedsättningar vilka yttrar sig som problem med motorisk kontroll och koordination, t.ex. dysdiadokokinesi (bristande förmåga att växla mellan antagonistiska rörelser) eller klumpighet"	""
"b7600"	"b760"	"Funktioner för kontroll av isolerade viljemässiga rörelser"	"Kontroll av isolerade viljemässiga rörelser"	"Funktioner vad avser kontroll och koordination av enkla eller isolerade viljemässiga rörelser"	""	""	""	""
"b7601"	"b760"	"Funktioner för kontroll av sammansatta viljemässiga rörelser"	"Kontroll av sammansatta viljemässiga rörelser"	"Funktioner vad avser kontroll och koordination av sammansatta viljemässiga rörelser"	""	""	""	""
"b7602"	"b760"	"Funktioner för koordination av viljemässiga rörelser"	"Koordination"	"Funktioner vad avser koordination av isolerade och sammansatta viljemässiga rörelser, såsom att utföra rörelser i en ordnad kombination"	"höger-vänster-koordination; koordination av rörelser som styrs av synen, såsom öga-hand-koordination och öga-fot-koordination"	""	"funktionsnedsättningar vilka yttrar sig som problem med motorisk kontroll och koordination, t.ex. dysdiadokokinesi (nedsatt förmåga att växla mellan antagonistiska rörelser) eller klumpighet"	""
"b7603"	"b760"	"Stödfunktioner i arm eller ben"	""	"Funktioner för kontroll och koordination vad avser viljemässiga rörelser vid belastning av kroppsvikten på armarna (armbågar eller händer) eller på benen (knän eller fötter)"	""	""	""	""
"b7608"	"b760"	"Andra specificerade funktioner för kontroll av viljemässiga rörelser"	""	""	""	""	""	""
"b7609"	"b760"	"Ospecificerade funktioner för kontroll av viljemässiga rörelser"	""	""	""	""	""	""
"b761"	"b750-b789"	"Spontana rörelser"	""	"Funktioner som hör samman med frekvens, smidighet och komplexitet vad gäller rörelser av samtliga eller enskilda kroppsdelar såsom spädbarnets spontana rörelser och rörelsemönster. Denna kod bör endast tillämpas för spädbarn yngre än 6 månader (korrigerad ålder)."	""	"motoriska reflexfunktioner (b750); funktioner för icke viljemässiga rörelsereaktioner (b755); funktioner för icke viljemässiga rörelser  (b765)"	""	""
"b7610"	"b761"	"Generella rörelser"	""	"Repertoar och kvalitet av åldersspecifika generella spontana rörelser, såsom ”slingrande” och ”rastlösa” rörelser tidigt i livet"	""	""	""	""
"b7611"	"b761"	"Specifika spontana rörelser"	""	"Repertoar och kvalitet av andra spontana rörelser som normalt förekommer under de första månaderna, såsom arm- och benrörelser mot mittlinjen, fingerrörelser och sparkar"	""	""	""	""
"b7618"	"b761"	"Andra specificerade spontana rörelser"	""	""	""	""	""	""
"b7619"	"b761"	"Spontana rörelser, ospecificerade"	""	""	""	""	""	""
"b765"	"b750-b789"	"Funktioner för icke viljemässiga rörelser"	"Icke viljemässiga rörelser"	"Funktioner för oavsiktliga, icke viljemässiga eller delvis målinriktade sammandragningar av en muskel eller muskelgrupp"	"funktioner för icke viljemässiga sammandragningar av muskler"	"funktioner för kontroll av viljemässiga rörelser (b760); gångmönster (b770)"	"funktionsnedsättningar vilka yttrar sig som tremor (darrningar), tics, manér, stereotypier, motorisk perseveration (tvångsmässiga rörelser), chorea, atetos (återkommande ofrivilliga rörelser), vokala tics, dystoniska rörelser, dyskinesi (rörelsesvårigheter) och sömnrelaterade rörelsestörningar"	""
"b7650"	"b765"	"Funktioner för ofrivilliga muskelsammandragningar"	"Ofrivilliga muskelsammandragningar"	"Funktioner för oavsiktliga, icke eller endast delvis målinriktade ofrivilliga sammandragningar av en muskel eller muskelgrupp, såsom tecken på psykisk funktionsstörning"	""	""	"funktionsnedsättningar som vid sömnrelaterade rörelsestörningar, koreatiska och atetoida rörelser"	""
"b7651"	"b765"	"Funktioner för tremor"	"Tremor"	"Funktioner vad avser alternerande sammandragning och avslappning av muskler kring en led, som yttrar sig som darrning"	""	""	""	""
"b7652"	"b765"	"Funktioner för tics och manér"	"Tics och manér"	"Funktioner vad avser upprepade, icke målinriktade och icke viljemässiga sammandragningar av muskler"	""	""	"funktionsnedsättningar vilka yttrar sig som koprolali (tvångsmässigt uttalande av oanständiga ord), bruxism (tandgnissling)"	""
"b7653"	"b765"	"Funktioner för stereotypier och motoriska perseverationer"	"Stereotypier och motoriska perseverationer"	"Funktioner vad avser spontana, icke målinriktade rörelser såsom gungning av kroppen eller nickning och vridning av huvudet"	""	""	""	""
"b7658"	"b765"	"Andra specificerade funktioner för ofrivilliga rörelser"	""	""	""	""	""	""
"b7659"	"b765"	"Ospecificerade funktioner för ofrivilliga rörelser"	""	""	""	""	""	""
"b770"	"b750-b789"	"Funktioner för gångmönster"	"Gångmönster"	"Funktioner för rörelsemönster vid gång och löpning eller andra rörelser med hela kroppen"	"gångmönster och löpmönster"	"muskelkraftsfunktioner (b730); muskeltonusfunktioner (b735); funktioner för kontroll av viljemässiga rörelser (b760); funktioner för icke viljemässiga rörelser (b765)"	"funktionsnedsättningar vilka yttrar sig som spastisk gång, hemiplegisk gång, paraplegisk gång, asymmetrisk gång, hälta och stelt gångmönster"	""
"b780"	"b750-b789"	"Förnimmelser vad avser muskler och rörelsefunktioner"	"Förnimmelser vad avser muskler och rörelser"	"Förnimmelser som hänger samman med kroppens muskler och muskelgrupper och deras rörelser"	""	"smärtförnimmelse (b280)"	"funktionsnedsättningar som förnimmelser av muskelstelhet och muskelstramhet, muskelspasm eller sammandragning av muskler samt tyngdkänsla i musklerna"	""
"b7800"	"b780"	"Förnimmelse av muskelstelhet"	"Muskelstelhet"	"Förnimmelse av stramhet eller stelhet i musklerna"	""	""	""	""
"b7801"	"b780"	"Förnimmelse av muskelspasm"	"Muskelspasm"	"Förnimmelser av ofrivillig sammandragning av en muskel eller muskelgrupp"	""	""	""	""
"b7808"	"b780"	"Andra specificerade förnimmelser vad avser muskel- och rörelsefunktioner"	""	""	""	""	""	""
"b7809"	"b780"	"Ospecificerade förnimmelser vad avser muskel- och rörelsefunktioner"	""	""	""	""	""	""
"b789"	"b750-b789"	"Andra specificerade och ospecificerade rörelsefunktioner"	""	""	""	""	""	""
"b798"	"b7"	"Neuromuskuloskeletala och rörelserelaterade funktioner, andra specificerade"	""	""	""	""	""	""
"b799"	"b7"	"Neuromuskuloskeletala och rörelserelaterade funktioner, ospecificerade"	""	""	""	""	""	""
"b8"	"b"	"Funktioner i huden och därmed relaterade strukturer"	"Funktioner i hud, naglar och hår"	"Detta kapitel handlar om funktioner i hud, naglar och hår"	""	""	""	""
"b810"	"b810-b849"	"Hudens skyddsfunktioner"	""	"Hudens funktioner för att skydda kroppen från fysiska, kemiska och biologiska hot"	"funktioner för skydd mot solen och annan strålning, ljuskänslighet, pigmentering, isolerande hudfunktion, bildande av valkar, tilltagande förhårdning"	"hudens läkande funktioner (b820); andra hudfunktioner (b830)"	"funktionsnedsättningar som yttrar sig som sprucken hud, sårnader, liggsår, trycksår, hudförtunning"	""
"b810-b849"	"b8"	"Funktioner i huden"	""	""	""	""	""	""
"b820"	"b810-b849"	"Hudens läkande funktioner"	""	"Hudens funktioner för att läka sprickor och andra hudskador"	"funktioner för att bilda sårskorpa, att läka, bilda ärr; bilda blåmärken och keloid (abnorm ärrbildning)"	"hudens skyddsfunktioner (b810); andra hudfunktioner (b830)"	""	""
"b830"	"b810-b849"	"Andra hudfunktioner"	""	"Andra funktioner i huden än att skydda och läka såsom reglering av kroppstemperatur via svett, reglering av förändringar i perifer cirkulation och vätskebalans via svett, bildning av vitamin D"	"svettningsfunktioner, körtelbetingade hudfunktioner och kroppslukt"	"hudens skyddsfunktioner (b810); hudens läkande funktioner (b820)"	""	""
"b840"	"b810-b849"	"Förnimmelser som hänger samman med huden"	""	"Förnimmelser som hänger samman med huden såsom klåda, brännande känsla och krypningar"	""	"smärtförnimmelse (b280)"	"funktionsnedsättningar som yttrar sig som nålstickskänsla och krypningsförnimmelse"	""
"b849"	"b810-b849"	"Andra specificerade och ospecificerade hudfunktioner"	""	""	""	""	""	""
"b850"	"b850-b869"	"Hårfunktioner"	""	"Hårets funktioner, såsom skydd, färg och utseende"	"funktioner för hårväxt, hårfärg, hårlokalisering"	""	"funktionsnedsättningar som yttrar sig som alopecia (hårförlust eller håravfall)"	""
"b850-b869"	"b8"	"Funktioner i hår och naglar"	""	""	""	""	""	""
"b860"	"b850-b869"	"Funktioner i naglar"	""	"Naglarnas funktioner, såsom för skydd, för att riva och klia, samt för utseende"	"nageltillväxt och nagelfärg, nagelkvalitet"	""	""	""
"b869"	"b850-b869"	"Andra specificerade och ospecificerade funktioner i hår och naglar"	""	""	""	""	""	""
"b898"	"b8"	"Funktioner i huden och därmed relaterade strukturer, andra specificerade"	""	""	""	""	""	""
"b899"	"b8"	"Funktioner i huden och därmed relaterade strukturer, ospecificerade"	""	""	""	""	""	""
