"Kod"	"Överordnad kod"	"Titel"	"Beskrivning"	"Innefattar"	"Utesluter"	"Relaterad ICF-kod"
"SJA.PU.ZZ"	"SJA"	"Stödjande samtal om att gå"	"Teori- och metodbaserat samtal för att hitta strategier för att lösa eller lindra problem och svårigheter som uppstår genom det dagliga livets krav och individens förmåga att förflytta sig till fots längs en yta, steg för steg, där en fot alltid är i marken"	""	""	"d450"
"SJA.RB.ZZ"	"SJA"	"Praktiskt stöd i att gå"	"Aktivitet att praktiskt stödja eller guida individen i att förflytta sig till fots längs en yta, steg för steg, där en fot alltid är i marken"	""	""	"d450"
"SJA.RC.ZZ"	"SJA"	"Emotionellt stöd i att gå"	"Aktivitet att känslomässigt stödja eller motivera individen i att förflytta sig till fots längs en yta, steg för steg, där en fot alltid är i marken"	""	""	"d450"
"SJA.SZ.ZZ"	"SJA"	"Stöd i att gå"	"Ospecificerad individstödjande aktivitet i att förflytta sig till fots längs en yta, steg för steg, där en fot alltid är i marken"	""	""	"d450"
"SJB"	"SH-SK"	"Att gå uppför och nedför i trappor"	"Att förflytta sig uppåt och nedåt så att minst en fot alltid är på marken, såsom att gå uppför och nedför i trappor eller trottoarkanter"	""	""	""
"SJB.AA.ZZ"	"SJB"	"Bedömning av att gå uppför och nedför i trappor"	"Bedömning av förmågan – att förflytta sig uppåt och nedåt så att minst en fot alltid är på marken – samt bedömning av behov av insatser, grundat på insamlad information"	""	""	""
"SJB.AM.ZZ"	"SJB"	"Observation av att gå uppför och nedför i trappor"	"Iakttagelser för att utreda eller följa upp förmågan att att förflytta sig uppåt och nedåt så att minst en fot alltid är på marken"	""	""	""
"SJB.AS.ZZ"	"SJB"	"Utredande samtal om att gå uppför och nedför i trappor"	"Samtal som görs för att utreda förmågan att förflytta sig uppåt och nedåt så att minst en fot alltid är på marken"	""	""	""
"SJB.AT.ZZ"	"SJB"	"Inhämtning av uppgifter, från professionell, om att gå uppför och nedför i trappor"	"Aktivitet att inhämta relevanta uppgifter, från professionell aktör, om förmågan att förflytta sig uppåt och nedåt så att minst en fot alltid är på marken"	""	""	""
"SJB.AU.ZZ"	"SJB"	"Inhämtning av uppgifter, från annan, om att gå uppför och nedför i trappor"	"Aktivitet att inhämta relevanta uppgifter, från annan (t.ex. närstående), om förmågan att förflytta sig uppåt och nedåt så att minst en fot alltid är på marken"	""	""	""
"SJB.AV.ZZ"	"SJB"	"Uppföljande samtal om att gå uppför och nedför i trappor"	"Samtal som görs för att följa upp förmågan – att förflytta sig uppåt och nedåt så att minst en fot alltid är på marken – i relation till mål och måluppfyllelse"	""	""	""
"SJB.PH.ZZ"	"SJB"	"Färdighetsträning i att gå uppför och nedför i trappor"	"Aktivitet att lära, förbättra eller utveckla färdigheter – i att förflytta sig uppåt och nedåt så att minst en fot alltid är på marken – genom praktiska övningar i relevant miljö"	""	""	""
"SJB.PN.ZZ"	"SJB"	"Råd eller information för att gå uppför och nedför i trappor"	"Aktivitet att ge råd eller information som uppmuntrar en förändring av eller bibehållande av förmågan att förflytta sig uppåt och nedåt så att minst en fot alltid är på marken – i relation till hälsa (eller risker)"	""	""	""
"SJB.PU.ZZ"	"SJB"	"Stödjande samtal om att gå uppför och nedför i trappor"	"Teori- och metodbaserat samtal för att hitta strategier för att lösa eller lindra problem och svårigheter som uppstår genom det dagliga livets krav och individens förmåga att förflytta sig uppåt och nedåt så att minst en fot alltid är på marken"	""	""	""
"SJB.RB.ZZ"	"SJB"	"Praktiskt stöd i att gå uppför och nedför i trappor"	"Aktivitet att praktiskt stödja eller guida individen i att förflytta sig uppåt och nedåt så att minst en fot alltid är på marken"	""	""	""
"SJB.RC.ZZ"	"SJB"	"Emotionellt stöd i att gå uppför och nedför i trappor"	"Aktivitet att känslomässigt stödja eller motivera individen i att förflytta sig uppåt och nedåt så att minst en fot alltid är på marken"	""	""	""
"SJB.SZ.ZZ"	"SJB"	"Stöd i att gå uppför och nedför i trappor"	"Ospecificerad individstödjande aktivitet i att förflytta sig uppåt och nedåt så att minst en fot alltid är på marken"	""	""	""
"SJD"	"SH-SK"	"Att röra sig omkring på olika sätt"	"Att förflytta hela kroppen från en plats till en annan på andra sätt än att gå"	""	""	"d455"
"SJD.AA.ZZ"	"SJD"	"Bedömning av att röra sig omkring på olika sätt"	"Bedömning av förmågan – att förflytta hela kroppen från en plats till en annan på andra sätt än att gå – samt bedömning av behov av insatser, grundat på insamlad information"	""	""	"d455"
"SJD.AM.ZZ"	"SJD"	"Observation av att röra sig omkring på olika sätt"	"Iakttagelser för att utreda eller följa upp förmågan att förflytta hela kroppen från en plats till en annan på andra sätt än att gå"	""	""	"d455"
"SJD.AS.ZZ"	"SJD"	"Utredande samtal om att röra sig omkring på olika sätt"	"Samtal som görs för att utreda förmågan att förflytta hela kroppen från en plats till en annan på andra sätt än att gå"	""	""	"d455"
"SJD.AT.ZZ"	"SJD"	"Inhämtning av uppgifter, från professionell, om att röra sig omkring på olika sätt"	"Aktivitet att inhämta relevanta uppgifter, från professionell aktör, om förmågan att förflytta hela kroppen från en plats till en annan på andra sätt än att gå"	""	""	"d455"
"SJD.AU.ZZ"	"SJD"	"Inhämtning av uppgifter, från annan, om att röra sig omkring på olika sätt"	"Aktivitet att inhämta relevanta uppgifter, från annan (t.ex. närstående), om förmågan att förflytta hela kroppen från en plats till en annan på andra sätt än att gå"	""	""	"d455"
"SJD.AV.ZZ"	"SJD"	"Uppföljande samtal om att röra sig omkring på olika sätt"	"Samtal som görs för att följa upp förmågan – att förflytta hela kroppen från en plats till en annan på andra sätt än att gå – i relation till mål och måluppfyllelse"	""	""	"d455"
"SJD.PH.ZZ"	"SJD"	"Färdighetsträning i att röra sig omkring på olika sätt"	"Aktivitet att lära, förbättra eller utveckla färdigheter – i att förflytta hela kroppen från en plats till en annan på andra sätt än att gå – genom praktiska övningar i relevant miljö"	""	""	"d455"
"SJD.PN.ZZ"	"SJD"	"Råd eller information för att röra sig omkring på olika sätt"	"Aktivitet att ge råd eller information som uppmuntrar en förändring av eller bibehållande av förmågan att förflytta hela kroppen från en plats till en annan på andra sätt än att gå – i relation till hälsa (eller risker)"	""	""	"d455"
"SJD.PU.ZZ"	"SJD"	"Stödjande samtal om att röra sig omkring på olika sätt"	"Teori- och metodbaserat samtal för att hitta strategier för att lösa eller lindra problem och svårigheter som uppstår genom det dagliga livets krav och individens förmåga att förflytta hela kroppen från en plats till en annan på andra sätt än att gå"	""	""	"d455"
"SJD.RB.ZZ"	"SJD"	"Praktiskt stöd i att röra sig omkring på olika sätt"	"Aktivitet att praktiskt stödja eller guida individen i att förflytta hela kroppen från en plats till en annan på andra sätt än att gå"	""	""	"d455"
"SJD.RC.ZZ"	"SJD"	"Emotionellt stöd i att röra sig omkring på olika sätt"	"Aktivitet att känslomässigt stödja eller motivera individen i att förflytta hela kroppen från en plats till en annan på andra sätt än att gå"	""	""	"d455"
"SJD.SZ.ZZ"	"SJD"	"Stöd i att röra sig omkring på olika sätt"	"Ospecificerad individstödjande aktivitet i att förflytta hela kroppen från en plats till en annan på andra sätt än att gå"	""	""	"d455"
"SJG"	"SH-SK"	"Att röra sig omkring på olika platser"	"Att gå och förflytta sig på olika platser och situationer (såsom att gå mellan rummen i ett hus, inom en byggnad eller längs gatan i en stad)"	""	""	"d460"
"SJG.AA.ZZ"	"SJG"	"Bedömning av att röra sig omkring på olika platser"	"Bedömning av förmågan – att gå och förflytta sig på olika platser och situationer – samt bedömning av behov av insatser, grundat på insamlad information"	""	""	"d460"
"SJG.AM.ZZ"	"SJG"	"Observation av att röra sig omkring på olika platser"	"Iakttagelser för att utreda eller följa upp förmågan att gå och förflytta sig på olika platser och situationer"	""	""	"d460"
"SJG.AS.ZZ"	"SJG"	"Utredande samtal om att röra sig omkring på olika platser"	"Samtal som görs för att utreda förmågan att gå och förflytta sig på olika platser och situationer"	""	""	"d460"
"SJG.AT.ZZ"	"SJG"	"Inhämtning av uppgifter, från professionell, om att röra sig omkring på olika platser"	"Aktivitet att inhämta relevanta uppgifter, från professionell aktör, om förmågan att gå och förflytta sig på olika platser och situationer"	""	""	"d460"
"SJG.AU.ZZ"	"SJG"	"Inhämtning av uppgifter, från annan, om att röra sig omkring på olika platser"	"Aktivitet att inhämta relevanta uppgifter, från annan (t.ex. närstående), om förmågan att gå och förflytta sig på olika platser och situationer"	""	""	"d460"
"SJG.AV.ZZ"	"SJG"	"Uppföljande samtal om att röra sig omkring på olika platser"	"Samtal som görs för att följa upp förmågan – att gå och förflytta sig på olika platser och situationer – i relation till mål och måluppfyllelse"	""	""	"d460"
"SJG.PH.ZZ"	"SJG"	"Färdighetsträning i att röra sig omkring på olika platser"	"Aktivitet att lära, förbättra eller utveckla färdigheter – i att gå och förflytta sig på olika platser och situationer – genom praktiska övningar i relevant miljö"	""	""	"d460"
"SJG.PN.ZZ"	"SJG"	"Råd eller information för att röra sig omkring på olika platser"	"Aktivitet att ge råd eller information som uppmuntrar en förändring av eller bibehållande av förmågan att gå och förflytta sig på olika platser och situationer – i relation till hälsa (eller risker)"	""	""	"d460"
"SJG.PU.ZZ"	"SJG"	"Stödjande samtal om att röra sig omkring på olika platser"	"Teori- och metodbaserat samtal för att hitta strategier för att lösa eller lindra problem och svårigheter som uppstår genom det dagliga livets krav och individens förmåga att gå och förflytta sig på olika platser och situationer"	""	""	"d460"
"SJG.RB.ZZ"	"SJG"	"Praktiskt stöd i att röra sig omkring på olika platser"	"Aktivitet att praktiskt stödja eller guida individen i att gå och förflytta sig på olika platser och situationer"	""	""	"d460"
"SJG.RC.ZZ"	"SJG"	"Emotionellt stöd i att röra sig omkring på olika platser"	"Aktivitet att känslomässigt stödja eller motivera individen i att gå och förflytta sig på olika platser och situationer"	""	""	"d460"
"SJG.SZ.ZZ"	"SJG"	"Stöd i att röra sig omkring på olika platser"	"Ospecificerad individstödjande aktivitet i att gå och förflytta sig på olika platser och situationer"	""	""	"d460"
"SK2"	"SH-SK"	"Att förflytta sig med hjälp av transportmedel"	"Att använda transportmedel och att vara förare"	""	""	"d470-d489"
"SK2.AA.ZZ"	"SK2"	"Bedömning av att förflytta sig med hjälp av transportmedel"	"Bedömning av förmågan – att använda transportmedel och att vara förare – samt bedömning av behov av insatser, grundat på insamlad information"	"bedömning av att använda transportmedel (SKA.AA.ZZ)"	""	"d470-d489"
"SK2.AS.ZZ"	"SK2"	"Utredande samtal om att förflytta sig med hjälp av transportmedel"	"Samtal som görs för att utreda förmågan att använda transportmedel och att vara förare"	"utredande samtal om att använda transportmedel (SKA.AS.ZZ)"	""	"d470-d489"
"SK2.AT.ZZ"	"SK2"	"Inhämtning av uppgifter, från professionell, om att förflytta sig med hjälp av transportmedel"	"Aktivitet att inhämta relevanta uppgifter, från professionell aktör, om förmågan att använda transportmedel och att vara förare"	"inhämtning av uppgifter, från professionell, om att använda transportmedel (SKA.AT.ZZ)"	""	"d470-d489"
"SK2.AU.ZZ"	"SK2"	"Inhämtning av uppgifter, från annan, om att förflytta sig med hjälp av transportmedel"	"Aktivitet att inhämta relevanta uppgifter, från annan (t.ex. närstående), om förmågan att använda transportmedel och att vara förare"	"inhämtning av uppgifter, från annan, om att använda transportmedel (SKA.AU.ZZ)"	""	"d470-d489"
"SK2.AV.ZZ"	"SK2"	"Uppföljande samtal om att förflytta sig med hjälp av transportmedel"	"Samtal som görs för att följa upp förmågan – att använda transportmedel och att vara förare – i relation till mål och måluppfyllelse"	"uppföljande samtal om att använda transportmedel (SKA.AV.ZZ)"	""	"d470-d489"
"SK2.PH.ZZ"	"SK2"	"Färdighetsträning i att förflytta sig med hjälp av transportmedel"	"Aktivitet att lära, förbättra eller utveckla färdigheter – i att använda transportmedel och att vara förare – genom praktiska övningar i relevant miljö"	"färdighetsträning i att använda transportmedel (SKA.PH.ZZ)"	""	"d470-d489"
"SK2.PN.ZZ"	"SK2"	"Råd eller information om att förflytta sig med hjälp av transportmedel"	"Aktivitet att ge råd eller information som uppmuntrar en förändring av eller bibehållande av förmågan att använda transportmedel och att vara förare – i relation till hälsa (eller risker)"	"råd eller information om att använda transportmedel (SKA.PN.ZZ)"	""	"d470-d489"
"SK2.PU.ZZ"	"SK2"	"Stödjande samtal om att förflytta sig med hjälp av transportmedel"	"Teori- och metodbaserat samtal för att hitta strategier för att lösa eller lindra problem och svårigheter som uppstår genom det dagliga livets krav och individens förmåga att använda transportmedel och att vara förare"	"stödjande samtal om att använda transportmedel (SKA.PU.ZZ)"	""	"d470-d489"
"SK2.RB.ZZ"	"SK2"	"Praktiskt stöd i att förflytta sig med hjälp av transportmedel"	"Aktivitet att praktiskt stödja eller guida individen i att använda transportmedel och att vara förare"	"praktiskt stöd i att använda transportmedel (SKA.RB.ZZ)"	""	"d470-d489"
"SK2.RC.ZZ"	"SK2"	"Emotionellt stöd i att förflytta sig med hjälp av transportmedel"	"Aktivitet att känslomässigt stödja eller motivera individen i att använda transportmedel och att vara förare"	"emotionellt stöd i att använda transportmedel (SKA.RC.ZZ)"	""	"d470-d489"
"SK2.SZ.ZZ"	"SK2"	"Stöd i att förflytta sig med hjälp av transportmedel"	"Ospecificerad individstödjande aktivitet i att använda transportmedel och att vara förare"	"stöd i att använda transportmedel (SKA.SZ.ZZ)"	""	"d470-d489"
"SKA"	"SH-SK"	"Att använda transportmedel"	"Att använda transportmedel för att som passagerare förflytta sig"	""	""	"d470"
"SKA.AA.ZZ"	"SKA"	"Bedömning av att använda transportmedel"	"Bedömning av förmågan – att använda transportmedel för att som passagerare förflytta sig – samt bedömning av behov av insatser, grundat på insamlad information"	""	""	"d470"
"SKA.AS.ZZ"	"SKA"	"Utredande samtal om att använda transportmedel"	"Samtal som görs för att utreda förmågan att använda transportmedel för att som passagerare förflytta sig"	""	""	"d470"
"SKA.AT.ZZ"	"SKA"	"Inhämtning av uppgifter, från professionell, om att använda transportmedel"	"Aktivitet att inhämta relevanta uppgifter, från professionell aktör, om förmågan att använda transportmedel för att som passagerare förflytta sig"	""	""	"d470"
"SKA.AU.ZZ"	"SKA"	"Inhämtning av uppgifter, från annan, om att använda transportmedel"	"Aktivitet att inhämta relevanta uppgifter, från annan (t.ex. närstående), om förmågan att använda transportmedel för att som passagerare förflytta sig"	""	""	"d470"
"SKA.AV.ZZ"	"SKA"	"Uppföljande samtal om att använda transportmedel"	"Samtal som görs för att följa upp förmågan – att använda transportmedel för att som passagerare förflytta sig – i relation till mål och måluppfyllelse"	""	""	"d470"
"SKA.PH.ZZ"	"SKA"	"Färdighetsträning i att använda transportmedel"	"Aktivitet att lära, förbättra eller utveckla färdigheter – i att använda transportmedel för att som passagerare förflytta sig – genom praktiska övningar i relevant miljö"	""	""	"d470"
"SKA.PN.ZZ"	"SKA"	"Råd eller information om att använda transportmedel"	"Aktivitet att ge råd eller information som uppmuntrar en förändring av eller bibehållande av förmågan att använda transportmedel för att som passagerare förflytta sig – i relation till hälsa (eller risker)"	""	""	"d470"
"SKA.PU.ZZ"	"SKA"	"Stödjande samtal om att använda transportmedel"	"Teori- och metodbaserat samtal för att hitta strategier för att lösa eller lindra problem och svårigheter som uppstår genom det dagliga livets krav och individens förmåga att använda transportmedel för att som passagerare förflytta sig"	""	""	"d470"
"SKA.RB.ZZ"	"SKA"	"Praktiskt stöd i att använda transportmedel"	"Aktivitet att praktiskt stödja eller guida individen i att använda transportmedel för att som passagerare förflytta sig"	""	""	"d470"
"SKA.RC.ZZ"	"SKA"	"Emotionellt stöd i att använda transportmedel"	"Aktivitet att känslomässigt stödja eller motivera individen i att använda transportmedel för att som passagerare förflytta sig"	""	""	"d470"
"SKA.SZ.ZZ"	"SKA"	"Stöd i att använda transportmedel"	"Ospecificerad individstödjande aktivitet i att använda transportmedel för att som passagerare förflytta sig"	""	""	"d470"
"SM"	""	"Aktiviteter gällande personlig vård"	""	""	""	""
"SM1"	"SM"	"Personlig vård"	"Detta kapitel handlar om egen personlig vård, att tvätta och torka sig själv, att ta hand om sin kropp och kroppsdelar, att klä sig, att äta och dricka och att sköta sin egen hälsa"	""	""	"d5"
"SM1.AA.ZZ"	"SM1"	"Bedömning av personlig vård"	"Bedömning av förmågan – att tvätta och torka sig, att ta hand om sin kropp och kroppsdelar, att klä sig, att äta och dricka och att sköta sin egen hälsa – samt bedömning av behov av insatser, grundat på insamlad information"	"bedömning av att tvätta sig (SMB.AA.ZZ); sköta kroppen (SMC.AA.ZZ); sköta toalettbehov (SMD.AA.ZZ); klä sig (SME.AA.ZZ); äta (SMF.AA.ZZ); dricka (SMG.AA.ZZ); sköta sin egen hälsa (SMH.AA.ZZ); se till sin egen säkerhet (SMI.AA.ZZ)"	""	"d510-d599"
"SM1.AC.ZZ"	"SM1"	"Manualbaserat test eller samtal om personlig vård"	"Manualbaserat test eller samtal för att utreda eller följa upp förmågan att tvätta och torka sig, att ta hand om sin kropp och kroppsdelar, att klä sig, att äta och dricka och att sköta sin egen hälsa"	"manualbaserat test eller samtal avseende att sköta sin egen hälsa (SMH.AC.ZZ)"	""	"d510-d599"
"SM1.AM.ZZ"	"SM1"	"Observation av personlig vård"	"Iakttagelser för att utreda eller följa upp förmågan att tvätta och torka sig, att ta hand om sin kropp och kroppsdelar, att klä sig, att äta och dricka och att sköta sin egen hälsa"	"observation av att tvätta sig (SMB.AM.ZZ); sköta kroppen (SMC.AM.ZZ); klä sig (SME.AM.ZZ); äta (SMF.AM.ZZ); dricka (SMG.AM.ZZ); sköta sin egen hälsa (SMH.AM.ZZ); se till sin egen säkerhet (SMI.AM.ZZ)"	""	"d510-d599"
"SM1.AS.ZZ"	"SM1"	"Utredande samtal om personlig vård"	"Samtal som görs för att utreda förmågan att tvätta och torka sig, att ta hand om sin kropp och kroppsdelar, att klä sig, att äta och dricka och att sköta sin egen hälsa"	"utredande samtal om att tvätta sig (SMB.AS.ZZ); sköta kroppen (SMC.AS.ZZ); sköta toalettbehov (SMD.AS.ZZ); klä sig (SME.AS.ZZ); äta (SMF.AS.ZZ); dricka (SMG.AS.ZZ); sköta sin egen hälsa (SMH.AS.ZZ); se till sin egen säkerhet (SMI.AS.ZZ)"	""	"d510-d599"
"SM1.AT.ZZ"	"SM1"	"Inhämtning av uppgifter, från professionell, om personlig vård"	"Aktivitet att inhämta relevanta uppgifter, från professionell aktör, om förmågan att tvätta och torka sig, att ta hand om sin kropp och kroppsdelar, att klä sig, att äta och dricka och att sköta sin egen hälsa"	"inhämtning av uppgifter, från professionell, om att tvätta sig (SMB.AT.ZZ); att sköta kroppen (SMC.AT.ZZ); sköta toalettbehov (SMD.AT.ZZ); klä sig (SME.AT.ZZ); äta (SMF.AT.ZZ); dricka (SMG.AT.ZZ); sköta sin egen hälsa (SMH.AT.ZZ) se till sin egen säkerhet (SMI.AT.ZZ)"	""	"d510-d599"
"SM1.AU.ZZ"	"SM1"	"Inhämtning av uppgifter, från annan, om personlig vård"	"Aktivitet att inhämta relevanta uppgifter, från annan (t.ex. närstående), om förmågan att tvätta och torka sig, att ta hand om sin kropp och kroppsdelar, att klä sig, att äta och dricka och att sköta sin egen hälsa"	"inhämtning av uppgifter, från annan, om att tvätta sig (SMB.AT.ZZ); att sköta kroppen (SMC.AT.ZZ); sköta toalettbehov (SMD.AT.ZZ); klä sig (SME.AT.ZZ); äta (SMF.AT.ZZ); dricka (SMG.AT.ZZ); sköta sin egen hälsa (SMH.AT.ZZ) se till sin egen säkerhet (SMI.AT.ZZ)"	""	"d510-d599"
"SM1.AV.ZZ"	"SM1"	"Uppföljande samtal om personlig vård"	"Samtal som görs för att följa upp förmågan – att tvätta och torka sig, att ta hand om sin kropp och kroppsdelar, att klä sig, att äta och dricka och att sköta sin egen hälsa – i relation till mål och måluppfyllelse"	"uppföljande samtal om att tvätta sig (SMB.AV.ZZ); sköta kroppen (SMC.AV.ZZ); att sköta toalettbehov (SMD.AV.ZZ); att klä sig (SME.AV.ZZ); att äta (SMF.AV.ZZ); att dricka (SMG.AV.ZZ); att sköta sin egen hälsa (SMH.AV.ZZ); se till sin egen säkerhet (SMI.AV.ZZ)"	""	"d510-d599"
"SM1.AX.ZZ"	"SM1"	"Annan specificerad utredande eller uppföljande aktivitet om personlig vård"	"Annan specificerad utredande eller uppföljande aktivitet gällande att tvätta och torka sig, att ta hand om sin kropp och kroppsdelar, att klä sig, att äta och dricka och att sköta sin egen hälsa - som inte är specificerad i klassifikationen"	""	""	"d510-d599"
"SM1.AZ.ZZ"	"SM1"	"Utredande eller uppföljande aktivitet om personlig vård, ospecificerad"	"Ospecificerad utredande eller uppföljande aktivitet, gällande förmågan att tvätta och torka sig, att ta hand om sin kropp och kroppsdelar, att klä sig, att äta och dricka och att sköta sin egen hälsa"	""	""	"d510-d599"
"SM1.PH.ZZ"	"SM1"	"Färdighetsträning i personlig vård"	"Aktivitet att lära, förbättra eller utveckla färdigheter – i att tvätta och torka sig, att ta hand om sin kropp och kroppsdelar, att klä sig, att äta och dricka och att sköta sin egen hälsa– genom praktiska övningar i relevant miljö"	"färdighetsträning i att tvätta sig (SMB.PU.ZZ); sköta kroppen (SMC.PU.ZZ); sköta toalettbehov (SMD.PU.ZZ); klä sig (SME.PU.ZZ); äta (SMF.PU.ZZ); dricka (SMG.PU.ZZ); sköta sin egen hälsa (SMH.PU.ZZ); se till sin egen säkerhet (SMI.PU.ZZ)"	""	"d510-d599"
"SM1.PN.ZZ"	"SM1"	"Råd eller information om personlig vård"	"Aktivitet att ge råd eller information som uppmuntrar en förändring av eller bibehållande av förmågan att tvätta och torka sig, att ta hand om sin kropp och kroppsdelar, att klä sig, att äta och dricka och att sköta sin egen hälsa – i relation till hälsa (eller risker)"	"råd eller information om att tvätta sig (SMB.PU.ZZ); sköta kroppen (SMC.PU.ZZ); klä sig (SME.PU.ZZ); äta (SMF.PU.ZZ); sköta sin egen hälsa (SMH.PU.ZZ); se till sin egen säkerhet (SMI.PU.ZZ)"	""	"d510-d599"
"SM1.PU.ZZ"	"SM1"	"Stödjande samtal om personlig vård"	"Teori- och metodbaserat samtal för att hitta strategier för att lösa eller lindra problem och svårigheter som uppstår genom det dagliga livets krav och individens förmåga att tvätta och torka sig, att ta hand om sin kropp och kroppsdelar, att klä sig, att äta och dricka och att sköta sin egen hälsa"	"stödjande samtal om att tvätta sig (SMB.PU.ZZ); sköta kroppen (SMC.PU.ZZ); klä sig (SME.PU.ZZ); äta (SMF.PU.ZZ); sköta sin egen hälsa (SMH.PU.ZZ); se till sin egen säkerhet (SMI.PU.ZZ)"	""	"d510-d599"
"SM1.PV.ZZ"	"SM1"	"Behandlande samtal om personlig vård"	"Teori- och metodbaserad terapeutisk kommunikation (som inbegriper samtal, förståelse av information och annat kunskapsutbyte) i syfte att förändra eller öka förståelsen för individens egen situation för att åstadkomma en förändring av förmågan att tvätta och torka sig, att ta hand om sin kropp och kroppsdelar, att klä sig, att äta och dricka och att sköta sin egen hälsa"	"behandlande samtal om att sköta sin egen hälsa (SMH.PV.ZZ)"	""	"d510-d599"
"SM1.RA.ZZ"	"SM1"	"Kompensatoriskt stöd för personlig vård"	"Aktiviteten utförs av någon annan än individen själv (när individen inte kan utföra den) gällande att tvätta och torka sig, att ta hand om sin kropp och kroppsdelar, att klä sig, att äta och dricka och att sköta sin egen hälsa"	"kompensatoriskt stöd för att tvätta sig (SMB.RA.ZZ); sköta kroppen (SMC.RA.ZZ); klä sig (SME.RA.ZZ); sköta sin egen hälsa (SMH.RA.ZZ)"	""	"d510-d599"
"SM1.RB.ZZ"	"SM1"	"Praktiskt stöd i personlig vård"	"Aktivitet att praktiskt stödja eller guida individen i att tvätta och torka sig, att ta hand om sin kropp och kroppsdelar, att klä sig, att äta och dricka och att sköta sin egen hälsa"	"praktiskt stöd i att tvätta sig (SMB.RB.ZZ); sköta kroppen (SMC.RB.ZZ); sköta toalettbehov (SMD.RB.ZZ); klä sig (SME.RB.ZZ); äta (SMF.RB.ZZ); dricka (SMG.RB.ZZ); sköta sin egen hälsa (SMH.RB.ZZ); se till sin egen säkerhet (SMI.RB.ZZ)"	""	"d510-d599"
"SM1.RC.ZZ"	"SM1"	"Emotionellt stöd i personlig vård"	"Aktivitet att känslomässigt stödja eller motivera individen i att tvätta och torka sig, att ta hand om sin kropp och kroppsdelar, att klä sig, att äta och dricka och att sköta sin egen hälsa"	"emotionellt stöd i att tvätta sig (SMB.RC.ZZ); sköta kroppen (SMC.RC.ZZ); sköta toalettbehov (SMD.RC.ZZ); klä sig (SME.RC.ZZ); äta (SMF.RC.ZZ); dricka (SMG.RC.ZZ); sköta sin egen hälsa (SMH.RC.ZZ); se till sin egen säkerhet (SMI.RC.ZZ)"	""	"d510-d599"
"SM1.SX.ZZ"	"SM1"	"Annan specificerad individstödjande aktivitet inom personlig vård"	"Annan specificerad individstödjande aktivitet gällande att tvätta och torka sig, att ta hand om sin kropp och kroppsdelar, att klä sig, att äta och dricka och att sköta sin egen hälsa - som inte är specificerad i klassifikationen"	""	""	"d510-d599"
"SM1.SZ.ZZ"	"SM1"	"Stöd inom personlig vård"	"Ospecificerad individstödjande aktivitet avseende att tvätta och torka sig, att ta hand om sin kropp och kroppsdelar, att klä sig, att äta och dricka och att sköta sin egen hälsa"	"stöd i att tvätta sig (SMB.SZ.ZZ); sköta kroppen (SMC.SZ.ZZ); sköta toalettbehov (SMD.SZ.ZZ); klä sig (SME.SZ.ZZ); äta (SMF.SZ.ZZ); dricka (SMG.SZ.ZZ); sköta sin egen hälsa (SMH.SZ.ZZ); se till sin egen säkerhet (SMI.SZ.ZZ)"	""	"d510-d599"
"SMB"	"SM"	"Att tvätta sig"	"Att tvätta och torka hela kroppen eller delar av den genom att använda vatten och lämpliga material och metoder för att bli ren och torr"	""	""	"d510"
"SMB.AA.ZZ"	"SMB"	"Bedömning av att tvätta sig"	"Bedömning av förmågan – att tvätta och torka hela kroppen och delar av den genom att använda vatten och lämpliga material och metoder för att bli ren och torr – samt bedömning av behov av insatser, grundat på insamlad information"	""	""	"d510"
"SMB.AM.ZZ"	"SMB"	"Observation av att tvätta sig"	"Iakttagelser för att utreda eller följa upp förmågan att tvätta och torka hela kroppen och delar av den genom att använda vatten och lämpliga material och metoder för att bli ren och torr"	""	""	"d510"
"SMB.AS.ZZ"	"SMB"	"Utredande samtal om att tvätta sig"	"Samtal som görs för att utreda förmågan att tvätta och torka hela kroppen och delar av den genom att använda vatten och lämpliga material och metoder för att bli ren och torr"	""	""	"d510"
"SMB.AT.ZZ"	"SMB"	"Inhämtning av uppgifter, från professionell, om att tvätta sig"	"Aktivitet att inhämta relevanta uppgifter, från professionell aktör, om förmågan att tvätta och torka hela kroppen och delar av den genom att använda vatten och lämpliga material och metoder för att bli ren och torr"	""	""	"d510"
"SMB.AU.ZZ"	"SMB"	"Inhämtning av uppgifter, från annan, om att tvätta sig"	"Aktivitet att inhämta relevanta uppgifter, från annan (t.ex. närstående), om förmågan att tvätta och torka hela kroppen och delar av den genom att använda vatten och lämpliga material och metoder för att bli ren och torr"	""	""	"d510"
"SMB.AV.ZZ"	"SMB"	"Uppföljande samtal om att tvätta sig"	"Samtal som görs för att följa upp förmågan – att tvätta och torka hela kroppen och delar av den genom att använda vatten och lämpliga material och metoder för att bli ren och torr – i relation till mål och måluppfyllelse"	""	""	"d510"
"SMB.PH.ZZ"	"SMB"	"Färdighetsträning i att tvätta sig"	"Aktivitet att lära, förbättra eller utveckla färdigheter – i att tvätta och torka hela kroppen och delar av den genom att använda vatten och lämpliga material och metoder för att bli ren och torr – genom praktiska övningar i relevant miljö"	""	""	"d510"
