"Kod"	"Överordnad kod"	"Titel"	"Beskrivning"	"Exempel"	"Innefattar"	"Utesluter"	"Anmärkning"	"Relaterad ICF-kod"	"Relaterad ICD-10-SE-kod"
"GD015"	"GD"	"Klinisk undersökning i samband med förväntat dödsfall"	"Klinisk undersökning vid förväntat dödsfall enligt SOSFS 2005:10 3 kap. 1-2 §, utförd av legitimerad sjuksköterska"	""	""	"Konstaterande av dödsfall, se GD006"	""	"b410, b440"	""
"GD015"	""	""	""	""	""	"Omhändertagande av avliden, se QX007"	""	""	""
"GD017"	"GD"	"Anmälan enligt lex Maria"	"Enligt 3 kap. 5 § i patientsäkerhetslagen ska vårdgivaren anmäla händelser som har medfört eller hade kunnat medföra en allvarlig vårdskada (lex Maria) till Inspektionen för vård och omsorg (IVO). Anmälan ska även i vissa fall göras till Läkemedelsverket, se Socialstyrelsens föreskrifter (HSLF-FS 2021:52) om användning av medicintekniska produkter i hälso- och sjukvården samt Läkemedelsverkets föreskrifter (LVFS 2012:14) om säkerhetsövervakning av humanläkemedel."	""	""	"Anmälan enligt lag, se GD001"	""	""	""
"GD018"	"GD"	"Information om inträffad vårdskada"	"Informera patienten om inträffade vårdskador (anmälan gjord enligt lex Maria). Om patienten inte själv kan ta del av informationen, informeras de närstående i stället."	""	""	""	""	""	""
"GD020"	"GD"	"Utfärdande av licensmotivering för icke godkänt läkemedel"	"Utfärdande av licensmotivering och sammanställning av dokumentation till ansökan om individuell licens enligt Läkemedelsverkets föreskrift (HSLF‍-‍FS 2018:25)"	""	""	""	""	""	""
"P"	""	"ICF-associerade utredande åtgärder"	"Utredande åtgärder relaterade till ICF:s dimensioner: kroppsfunktioner, aktiviteter/delaktighet och omgivningsfaktorer"	""	""	""	""	""	""
"PA"	"P"	"Utredning av psykiska funktioner"	""	""	""	""	""	""	""
"PA000"	"PA"	"Utredning av psykiska funktioner"	"Insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation gällande hjärnans och det centrala nervsystemets funktioner, såväl övergripande funktioner såsom medvetande, energi och drift som specifika psykiska funktioner såsom minne, språk och kalkylerande psykiska funktioner. Övergripande kod inom avsnittet ICF b110-b199"	""	""	""	""	""	""
"PA001"	"PA"	"Bedömning av medvetandefunktioner"	"Bedömning av medvetandegrad. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b110"	""	""	""	""	""	""
"PA002"	"PA"	"Bedömning av orienteringsfunktioner"	"Bedömning av orientering till tid, rum och person, orientering till sig själv och andra. Desorientering till tid, rum och person. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b114"	""	""	""	""	""	""
"PA003"	"PA"	"Bedömning av intellektuella funktioner"	"Bedömning av den intellektuella utvecklingens funktioner, intellektuell utvecklingshämning, psykisk utvecklingshämning, demens. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b117"	""	""	""	""	""	""
"PA004"	"PA"	"Bedömning av övergripande psykosociala funktioner"	"Bedömning av allmänna psykiska funktioner och deras utveckling över livscykeln som krävs för att förstå och på ett konstruktivt sätt integrera de olika psykiska funktioner som utgör grund för uppbyggnad av mellanmänsklig förmåga som är nödvändig för att upprätta meningsfulla ömsesidiga sociala kontakter. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b122"	""	""	""	""	""	""
"PA005"	"PA"	"Bedömning av temperament och personlighetsfunktioner"	"Bedömning av allmänna psykiska funktioner i en persons konstitutionella disposition att reagera på ett särskilt sätt i situationer och som innefattar den uppsättning av psykiska egenskaper som gör att en person klart skiljer sig från andra. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b126"	""	""	""	""	""	""
"PA006"	"PA"	"Bedömning av energi och driftfunktioner"	"Bedömning av allmänna psykiska funktioner av fysiologiska och psykologiska mekanismer som gör att en person envist strävar efter att tillfredsställa specifika behov och allmänna mål. Innefattar bedömning av energinivå, motivation, aptit, begär efter substanser, impulskontroll. Innefattar även insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b130"	""	""	""	""	""	""
"PA007"	"PA"	"Bedömning av sömnfunktioner"	"Bedömning av funktioner som sömnmängd, insomning, sömnunderhåll, sömnkvalitet, sömncykeln, sömnlöshet, hypersömn, narkolepsi. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b134"	""	""	""	""	""	""
"PA008"	"PA"	"Bedömning av uppmärksamhetsfunktioner"	"Bedömning av att vidmakthålla uppmärksamhet, skifta uppmärksamhet, fördela uppmärksamhet samt koncentration, distraherbarhet. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b140"	""	""	""	""	""	""
"PA009"	"PA"	"Bedömning av minnesfunktioner"	"Bedömning av korttidsminne, långtidsminne samt att återge minnen. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b144"	""	""	""	""	""	""
"PA010"	"PA"	"Bedömning av psykomotoriska funktioner"	"Bedömning av specifika psykiska funktioner för kontroll över motoriska och psykologiska händelser på kroppsnivå. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b147"	""	""	""	""	""	""
"PA011"	"PA"	"Bedömning av emotionella funktioner"	"Bedömning av specifika psykiska funktioner som hänför sig till känslo- och affektkomponenterna i tankeprocesserna. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b152"	""	""	""	""	""	""
"PA012"	"PA"	"Bedömning av perceptuella funktioner"	"Bedömning av psykiska funktioner som att känna igen och tolka sinnestimuli. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b156"	""	""	""	""	""	""
"PA013"	"PA"	"Bedömning av tankefunktioner"	"Bedömning av tanketempo, organisation i tankeprocessen, målinriktat och logiskt tänkande. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b160"	""	""	""	""	""	""
"PA014"	"PA"	"Bedömning av högre kognitiva funktioner"	"Bedömning av psykiska funktioner som beslutsfattande, abstrakt tänkande, planering och utförande av planer, mental flexibilitet och att fatta beslut om vilket beteende som är påkallat under vilka omständigheter, ofta benämnda exekutiva funktioner. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b164"	""	""	""	""	""	""
"PA015"	"PA"	"Bedömning av psykiska språkfunktioner"	"Bedömning av att mottaga/förstå språk och uttrycka sig språkligt i tal, skrift och/eller tecken. Innefattar bedömning vid afasi. Innefattar även insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b167"	""	""	""	""	""	""
"PA016"	"PA"	"Bedömning av kalkyleringsfunktioner"	"Bedömning av att räkna enkla och sammansatta tal. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b172"	""	""	""	""	""	""
"PA017"	"PA"	"Bedömning av psykisk funktion att ordna sammansatta rörelser i följd"	"Bedömning av att organisera och samordna målinriktade rörelser i följd. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b176"	""	""	""	""	""	""
"PA018"	"PA"	"Bedömning av medvetenhet om jaget och om tid"	"Bedömning av specifika psykiska funktioner som rör medvetenheten om egen identitet, egen kropp och egen plats i den omgivande verkligheten samt om tiden. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b180"	""	""	""	""	""	""
"PB"	"P"	"Utredning av sinnesfunktioner och smärta"	""	""	""	""	""	""	""
"PB000"	"PB"	"Utredning av sinnesfunktioner och smärta"	"Insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation gällande sinnesorganens funktioner såsom syn, hörsel, balans, smak, lukt, proprioception, beröring och smärta. Övergripande kod inom avsnittet ICF b210 - b299"	""	""	""	""	""	""
"PB002"	"PB"	"Hörselundersökning"	"Bedömning av sinnesfunktioner avseende att förnimma närvaro av ljud och att urskilja lokalisering, tonhöjd, ljudstyrka och ljudkvalitet. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b230"	""	""	""	""	""	""
"PB003"	"PB"	"Bedömning av balansfunktion"	"Bedömning av att bibehålla balans och undvika risk att falla. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b235"	""	""	""	""	""	""
"PB004"	"PB"	"Bedömning av förnimmelser i samband med hörsel och vestibulär funktion"	"Bedömning av individens förnimmelse av öronsus (tinnitus), yrsel, känsla av att falla, irritation i örat, örontryck, illamående i samband med yrsel eller svindel. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b240"	""	""	""	""	""	""
"PB005"	"PB"	"Bedömning av smakfunktion"	"Bedömning av sinnesfunktioner avseende att uppfatta beskt, sött, salt, surt. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b250"	""	""	""	""	""	""
"PB006"	"PB"	"Bedömning av luktfunktion"	"Bedömning av sinnesfunktioner avseende att uppfatta lukter och dofter. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b255"	""	""	""	""	""	""
"PB007"	"PB"	"Bedömning av proprioceptiv funktion"	"Bedömning av att förnimma kroppsdelars inbördes läge och relation till varandra samt ledkänsel. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b260"	""	""	""	""	""	""
"PB008"	"PB"	"Bedömning av beröringsfunktion och temperatur"	"Bedömning av att känna ytlig beröring, värme och kyla, vibration, tryck, form och material. Innefattar bedömning av känslighet för ett obehagligt eller skadligt sinnesintryck som köldintolerans. Innefattar även insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b265, b270"	""	""	""	""	""	""
"PB009"	"PB"	"Bedömning av smärta"	"Bedömning av individens smärtupplevelse, risk för utveckling av långvarig smärta/besvär. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation"	""	""	""	""	" b280"	""
"PB010"	"PB"	"Bedömning av förnimmelser förenade med ögat och angränsande strukturer samt funktioner hos strukturer intill ögat"	"Bedömning av funktioner hos strukturer i och runt ögat som underlättar synfunktioner samt förnimmelser av trötthet, torrhet, klåda och liknande förnimmelser i ögat. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b215, b220"	""	""	""	""	""	""
"PC"	"P"	"Utredning av röst- och talfunktioner"	""	""	""	""	""	""	""
"PC001"	"PC"	"Utredning av röst och talfunktioner"	"Insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation gällande röst och talfunktioner. ICF b310 - b399"	""	""	""	""	""	""
"PD"	"P"	"Utredning av hjärt-kärlfunktioner, blodbildnings-, immunsystemet och andningsfunktioner"	""	""	""	""	""	""	""
"PD000"	"PD"	"Utredning av hjärt-kärlfunktioner, blodbildnings- och immunsystemsfunktioner och andningsfunktioner"	"Insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation gällande funktioner inom hjärt- och kärlsystemet, blodbildnings- och immunsystemsfunktioner och andningsfunktioner. Övergripande kod inom avsnittet ICF b410 - b499"	""	""	""	""	""	""
"PD001"	"PD"	"Pulsmätning"	"Manuell mätning av hjärtfrekvens och rytm. ICF b410"	""	""	""	""	""	""
"PD003"	"PD"	"Bedömning av blodkärlsfunktioner"	"Undersökning av perifer cirkulation, arteriellt och/eller venöst blodflöde. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b415"	""	""	""	""	""	""
"PD005"	"PD"	"Bedömning av ortostatism"	"Bedömning av ortostatiska besvär vid t.ex. lägesändringar. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b420"	""	""	""	""	""	""
"PD006"	"PD"	"Ödemmätning"	"Undersökning och mätning av svullnad med måttband, andra apparater eller genom palpation. ICF b415"	""	""	""	""	""	""
"PD007"	"PD"	"Bedömning av andningsfunktioner"	"Bedömning av rörlighet, andningsdjup, andningsmuskelfunktion och andningsmönster samt hur andningen integreras i kroppsmedvetandet och aktiviteter i det dagliga livet. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b440, b445"	""	""	""	""	""	""
"PD008"	"PD"	"Bedömning av hostfunktion"	"Bedömning av hostfunktion och sekretmobiliserande tekniker och av inhalationsteknik. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b450"	""	""	""	""	""	""
"PD009"	"PD"	"Bedömning av tolerans för fysisk ansträngning och uthållighet"	"Bedömning av kondition, uthållighet och tolerans för fysiskt arbete. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b455"	""	""	""	""	""	""
"PD010"	"PD"	"Bedömning av förnimmelser i samband med hjärt-kärlfunktioner och andningsfunktioner"	"Bedömning av förnimmelser som t.ex. att hjärtat hoppar över ett slag, hjärtklappning och otillräcklig andning. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b460"	""	""	""	""	""	""
"PE"	"P"	"Utredning av matsmältnings- och ämnesomsättningsfunktioner och endokrina funktioner"	""	""	""	""	""	""	""
"PE000"	"PE"	"Utredning av matsmältnings- och ämnesomsättningsfunktioner och endokrina funktioner"	"Insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation gällande funktioner som intagande av föda, matsmältning och elimination, liksom även funktioner involverade i ämnesomsättning och endokrina system. Övergripande kod inom avsnittet ICF b510 - b599"	""	""	""	""	""	""
"PE001"	"PE"	"Bedömning av sugfunktion"	"Bedömning av att dra in föda i munnen genom en sugande kraft som produceras genom rörelser av kinder, läppar och tunga. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b510"	""	""	""	""	""	""
"PE002"	"PE"	"Bedömning av sväljfunktion"	"Bedömning av att förflytta mat och dryck genom munhåla, svalg och matstrupe till magsäcken med lämplig frekvens och hastighet. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation"	""	""	""	""	"b510"	""
"PE003"	"PE"	"Bedömning av matsmältningsfunktioner"	"Bedömning av funktioner för transport av föda genom matsmältningskanalen och nedbrytning av föda och absorption av näringsämnen. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b515"	""	""	""	""	""	""
"PE005"	"PE"	"Bedömning av avföringsfunktioner"	"Bedömning av viljemässig kontroll över elimineringsfunktionen. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b525"	""	""	""	""	""	""
"PE006"	"PE"	"Bedömning av viktuppehållande funktioner"	"Bedömning av funktioner att hålla lämplig kroppsvikt, innefattande viktökning under utvecklingsperioden. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b530"	""	""	""	""	""	""
"PE007"	"PE"	"Bedömning av besvär relaterat till matsmältning"	"Bedömning av förnimmelser som uppstår genom att äta, dricka eller därmed relaterade matsmältningsfunktioner. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b535"	""	""	""	""	""	""
"PE008"	"PE"	"Bedömning av ämnesomsättningsfunktioner"	"Bedömning av funktioner för reglering av kroppens grundläggande komponenter som kolhydrater, proteiner och fett, deras omvandling från det ena till det andra, och deras nedbrytning till energi. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b540"	""	""	""	""	""	""
"PE009"	"PE"	"Bedömning av vätskebalans"	"Bedömning av funktioner för reglering av vatten, mineraler och elektrolyter i kroppen. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation"	""	""	""	""	"b545"	""
"PE010"	"PE"	"Bedömning av värmereglerande funktioner"	"Bedömning av funktioner för reglering av kroppstemperatur, temperaturmätning ingår. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b550"	""	""	""	""	""	""
"PE012"	"PE"	"Bedömning av endokrina funktioner"	"Bedömning av funktioner av endokrina system som påverkar alla organ och celler i kroppen samt produktion och reglering av hormonnivåer som syftar till att upprätthålla balans och livsfunktioner. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation"	""	""	""	""	"b555"	""
"PE015"	"PE"	"Bedömning av näringsintag"	"Bedömning av näringsintag av ett eller flera näringsämnen i relation till bedömt behov, genom insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation ICF b510"	""	""	""	""	""	""
"PE016"	"PE"	"Bedömning av näringsbehov"	"Bedömning av behov av ett eller flera näringsämnen, genom insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b530"	""	""	""	""	""	""
"PE017"	"PE"	"Bedömning av risk för undernäring"	"Sammanvägd bedömning av risk för undernäring baserat på insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation"	""	""	""	"Separata KVÅ-koder kan användas för att ange de specifika åtgärderna som ingår i riskbedömningen"	"b510"	""
"PF"	"P"	"Utredning av funktioner i köns- och urinorganen samt reproduktiva funktioner"	""	""	""	""	""	""	""
"PF000"	"PF"	"Utredning av funktioner i köns- och urinorganen samt reproduktiva funktioner"	"Insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation gällande funktioner såsom urinutsöndring och reproduktion innefattande funktioner för sexualitet och fortplantning. Övergripande kod inom avsnittet ICF b610 - b699"	""	""	""	""	""	""
"PF001"	"PF"	"Bedömning av urinutsöndringsfunktioner"	"Bedömning av funktioner för urinens filtrering och uppsamling. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b610"	""	""	""	""	""	""
"PF002"	"PF"	"Bedömning av urineringsfunktioner"	"Bedömning av bäckenbottenmuskulatur, urineringsfrekvens och mängd samt frekvens och mängd vid läckage. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation samt miktionsanamnes, miktionsobservation/flödes- och resurinobservation (MKO/FRO), under halv- eller heldag"	""	""	""	""	" b620"	""
"PF003"	"PF"	"Bedömning av sexuella funktioner"	"Bedömning av psykiska och fysiska funktioner avseende sexualakten. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b640"	""	""	""	""	""	""
"PF004"	"PF"	"Bedömning av menstruationsfunktioner"	"Bedömning av funktioner avseende menstruationscykeln och tömning av menstruationsvätska. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b650"	""	""	""	""	""	""
"PF005"	"PF"	"Bedömning av fortplantningsfunktioner"	"Bedömning av funktioner avseende fertilitet, havandeskap, barnafödsel och mjölkproduktion. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b660"	""	""	""	""	""	""
"PF006"	"PF"	"Bedömning av förnimmelser förenade med urinfunktioner"	"Bedömning av förnimmelser såsom brännande känsla vid urinering och trängningskänsla av urineringsnöd. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b630"	""	""	""	""	""	""
"PF007"	"PF"	"Bedömning av förnimmelser i samband med genitala och reproduktiva funktioner"	"Bedömning av förnimmelser i samband med samlag, menstruation och relaterade genitala eller reproduktiva funktioner såsom smärta och obehag vid samlag, smärtsamma menstruationer, heta vallningar under menopaus, nattsvettningar under menopaus, förnimmelser förknippade med självstimulering av könsorgan. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b670"	""	""	""	""	""	""
"PF008"	"PF"	"Bedömning av risk för blåsdysfunktion"	"Sammanvägd bedömning av risk för blåsdysfunktion baserat på insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation"	""	""	""	"Separata KVÅ-koder kan användas för att ange de specifika åtgärderna som ingår i riskbedömningen"	"b620"	""
"PG"	"P"	"Utredning av neuromuskuloskeletala och rörelserelaterade funktioner"	""	""	""	""	""	""	""
"PG000"	"PG"	"Utredning av neuromuskuloskeletala och rörelserelaterade funktioner"	"Insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation gällande rörelsesystemets funktioner inklusive funktioner i leder, skelett, reflexer och muskler. Övergripande kod inom avsnittet ICF b710 - b799"	""	""	""	""	""	""
"PG001"	"PG"	"Bedömning av ledrörlighet"	"Bedömning av ledrörlighet genom aktiva och passiva rörelser samt manuella metoder. ICF b710, b720"	""	""	""	""	""	""
"PG002"	"PG"	"Bedömning av ledstabilitet"	"Bedömning av ledstabilitet genom aktiva och passiva rörelser samt manuella metoder. ICF b715"	""	""	""	""	""	""
"PG003"	"PG"	"Bedömning av muskelfunktion"	"Bedömning av muskelstyrka, uthållighet, muskellängd, muskeltonus med manuella metoder eller apparater inkl. tendinittest. ICF b730, b735, b740"	""	""	""	""	""	""
"PG004"	"PG"	"Bedömning av reflexer"	"Bedömning av funktioner för icke viljemässig sammandragning av muskler som utlöses automatiskt genom specifika stimuli. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b750"	""	""	""	""	""	""
"PG005"	"PG"	"Bedömning av icke viljemässiga rörelsereaktioner"	"Bedömning av posturala reaktioner såsom upprätnings-, jämvikts-, balans- och skyddsreaktioner. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b755"	""	""	""	""	""	""
"PG006"	"PG"	"Bedömning av viljemässig rörelsekontroll"	"Bedömning av koordination, balans mellan agonister och antagonister, huvudkontroll, balans, öga-handkoordination, koncentration. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b760"	""	""	""	""	""	""
"PG007"	"PG"	"Bedömning av gångmönster"	"Bedömning av gångmönster och löpning eller andra rörelser med hela kroppen. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b770"	""	""	""	""	""	""
"PG008"	"PG"	"Bedömning av förnimmelser vad avser muskler och rörelsefunktioner"	"Bedömning av förnimmelser som hänger samman med kroppens muskler och muskelgrupper och deras rörelser såsom muskelstelhet och muskelstramhet, muskelspasm eller sammandragning av muskler samt tyngdkänsla i musklerna. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b780"	""	""	""	""	""	""
"PH"	"P"	"Utredning av funktioner i huden och därmed relaterade strukturer"	""	""	""	""	""	""	""
"PH000"	"PH"	"Utredning av funktioner i huden och därmed relaterade strukturer"	"Insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation gällande funktioner i hud, naglar och hår. Övergripande kod inom avsnittet ICF b810 - b899"	""	""	""	""	""	""
"PH001"	"PH"	"Bedömning av huden"	"Bedömning av hudens beskaffenhet. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b810"	""	""	""	""	""	""
"PH002"	"PH"	"Bedömning av risk för trycksår"	"Riskbedömning för trycksår. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b810"	""	""	""	""	""	""
"PH003"	"PH"	"Bedömning av hudens läkande funktion"	"Bedömning av sårläkning, riskbedömning av abnorm ärrbildning ingår. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b820"	""	""	""	""	""	""
"PH004"	"PH"	"Bedömning av förnimmelser som hänger samman med huden"	"Bedömning av förnimmelser som hänger samman med huden såsom klåda, brännande känsla och krypningar. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b840"	""	""	""	""	""	""
"PH005"	"PH"	"Enkel fotundersökning"	"Inspektion av foten, undersökning för att finna felställningar, test av känseln, palpation av pulsar"	""	""	"Fotvård, se QH005"	""	""	""
"PJ"	"P"	"Utredning av lärande och tillämpning av kunskap"	""	""	""	""	""	""	""
"PJ000"	"PJ"	"Utredning av lärande och tillämpning av kunskap"	"Insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation gällande lärande, tillämpning av kunskap som är inlärd, tänkande, problemlösning och beslutsfattande. Övergripande kod inom avsnittet ICF d110 - d199"	""	""	""	""	""	""
"PJ001"	"PJ"	"Bedömning av målinriktad användning av sinnesupplevelser"	"Bedömning av målinriktad användning av sinnesupplevelser för att uppfatta visuella, auditiva stimuli samt stimuli som att känna, smaka, lukta. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d110 - d120"	""	""	""	""	""	""
"PJ002"	"PJ"	"Bedömning av grundläggande lärande"	"Bedömning av grundläggande lärande, att kunna härma, repetera, lära sig läsa, lära sig skriva och räkna samt förvärva färdigheter. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d130 - d159"	""	""	""	""	""	""
"PJ003"	"PJ"	"Bedömning av att tillämpa kunskap"	"Bedömning av att kunna vara uppmärksam, att tänka, läsa och att kunna skriva och beräkna samt lösa problem och fatta beslut samt kunna prioritera bland ett flertal uppgifter som behöver genomföras. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d160 - d179"	""	""	""	""	""	""
"PK"	"P"	"Utredning av allmänna uppgifter och krav"	""	""	""	""	""	""	""
"PK000"	"PK"	"Utredning av genomförande av allmänna uppgifter och krav"	"Insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation gällande att genomföra enstaka eller mångfaldiga uppgifter, organisera arbetsgång och hantera stress. Övergripande kod inom avsnittet ICF d210 - d299"	""	""	""	""	""	""
"PK001"	"PK"	"Bedömning av att företa en enstaka uppgift"	"Bedömning av genomförande av handlingar som sammanhänger med de psykiska eller fysiska komponenterna i en enstaka uppgift såsom att påbörja en uppgift, organisera tid, rum och material. Planera, sätta mål, genomföra och avsluta samt upprätthålla en uppgift. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d210"	""	""	""	""	""	""
